year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2072,33953956.900978096,13809066.649041742,16950824.477419794,122.75141331580197,7641757.501182037,86323537440.18625,31984245578.864174
2073,33322563.45438257,13573804.006046828,16602489.15871498,122.3127219998089,7519149.139409479,86634622367.08546,31470105391.398556
2074,32711406.986467183,13344433.512936166,16266536.95954538,121.8975458476863,7396885.310917569,86898689636.28325,30947086340.364708
2075,32118355.84270353,13120968.014168281,15941019.621851549,121.49271002442899,7278827.350813513,87197193131.77325,30444501858.395557
2076,31543496.154779747,12903423.601673696,15626192.20781997,121.10113323562518,7164891.7466993425,87530913663.51001,29961783194.466206
2077,30985171.186422274,12691818.32230888,15320553.696293306,120.71204698355791,7055027.790731736,87901112947.53903,29498531572.59154
2078,30441894.86711346,12486173.03932321,15022759.338542085,120.3151621496058,6949184.629951101,88309055661.30124,29054345221.72461
2079,29912338.62159621,12286514.390734686,14731604.87167497,119.90060324011942,6847178.455068156,88753846267.86665,28628122240.492504
2080,29395313.878843665,12092868.675045723,14446012.305488965,119.45893644986883,6748965.114136596,89236735586.67952,28219491457.611683
2081,28889826.16100361,11905282.774863193,14165017.128444545,118.98093809541889,6654294.935632954,89753826778.44643,27826482474.503437
2082,28394992.954593502,11723807.63146431,13887756.744131632,118.45773302233076,6563145.327322997,90306503794.1865,27448852517.03396
2083,27910033.398483545,11548494.676034428,13613460.100051232,117.88081894605749,6475493.130421937,90896168161.57986,27086355143.74768
2084,27434166.75384779,11379389.362165593,13341438.348693814,117.24212894104565,6413394.964156553,91890980169.14351,26845883753.306374
2085,26966693.98545146,11216538.003467074,13071076.501486797,116.53396527026858,6348254.75698551,92837675982.31528,26590647307.946224
2086,26506991.195144534,11059987.930178158,12801825.858391182,115.74900387965401,6280447.371213267,93738948314.92015,26322343634.883064
2087,26054502.990757473,10909787.294838611,12533197.18873937,114.88030747096958,6210349.087353783,94597856748.71033,26042675704.287853
2088,25608736.516085938,10765985.126938865,12264754.588465264,113.9213406284219,6138337.708930918,95417850982.90747,25753352084.847385
2089,25169276.515824225,10662154.571278179,11962627.018419035,112.19708866952729,6069445.439683905,96265356493.0428,25472641647.287106
2090,24735752.18880505,10552318.584247138,11672539.675529731,110.61587633408733,5997632.189615591,97059536266.22566,25179204361.592045
2091,24307916.24704526,10437159.649813976,11393600.056505814,109.16379971929322,5924614.078821229,97824328066.1899,24880006670.29699
2092,23885554.257567205,10317978.876513967,11124947.906108735,107.82099904693166,5850992.456437738,98567415343.25482,24577449686.784748
2093,23468481.420081742,10195235.46252131,10865751.413246933,106.57675787077704,5777108.08449406,99293976931.64561,24273152301.04657
