year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2080,335811299.8656073,0.0,0.0,0.0,-34416039211.52894,-34462481184.65023,-34462481184.65023,-34462481184.65023
2081,284431497.45676345,0.0,0.0,0.0,-34447470933.94718,-34430521653.19153,-34430521653.19153,-34430521653.19153
2082,264126615.5353283,0.0,0.0,0.0,-34377191556.36137,-34391277952.39232,-34391277952.39232,-34391277952.39232
2083,218967231.16358784,0.0,0.0,0.0,-34352868892.20639,-34342051559.394043,-34342051559.394043,-34342051559.394043
2084,208111449.689165,0.0,0.0,0.0,-34247832079.951412,-34271247546.02302,-34271247546.02302,-34271247546.02302
2085,189074622.09774905,0.0,0.0,0.0,-34174618296.6019,-34189771240.250736,-34189771240.250736,-34189771240.250736
2086,150668234.7383459,0.0,0.0,0.0,-34099645588.737362,-34095334535.913868,-34095334535.913868,-34095334535.913868
2087,131599268.01708189,0.0,0.0,0.0,-33970739962.644066,-33985656652.57538,-33985656652.57538,-33985656652.57538
2088,95129056.6638262,0.0,0.0,0.0,-33861067882.392406,-33858456127.16631,-33858456127.16631,-33858456127.16631
2089,70064987.7414656,0.0,0.0,0.0,-33573607673.064625,-33582125729.872147,-33582125729.872147,-33582125729.872147
2090,40684275.339391306,0.0,0.0,0.0,-33323002323.441032,-33326948559.59855,-33326948559.59855,-33326948559.59855
2091,9818525.527305508,0.0,0.0,0.0,-33086562719.008873,-33088785754.951748,-33088785754.951748,-33088785754.951748
2092,0.0,0.0,0.0,0.0,-32864454740.920326,-32865108401.447906,-32865108401.447906,-32865108401.447906
2093,0.0,0.0,0.0,0.0,-32653956793.871456,-32653956793.871445,-32653956793.871445,-32653956793.871445
