year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2050,98668185254.15282,83410993289.10262,0.0,239453926323.90137,-15669182257.123348,-17557662932.16421,-27588849940.901623,1833313349.0521824
2051,83291178706.39534,63946159095.33183,0.0,226793349321.0257,-17711256473.08128,-19557629313.214264,-28371941216.18119,-2193577213.025229
2052,68199331968.45834,45163336957.86918,0.0,214882271073.03973,-19614735218.695023,-21315408854.18397,-28379449297.20453,-5355684830.167379
2053,54670078425.36905,22307225234.048058,0.0,197924377159.89935,-20846023614.33446,-22849316422.511734,-28490154698.18773,-8697275654.460602
2054,42672509913.085175,0.0,0.0,185087614983.64328,-22502536192.602,-23927000713.6596,-29465463351.978207,-10949056023.588665
2055,32832703500.100235,0.0,0.0,166450553250.46442,-23606678199.471878,-25033034424.397064,-28692710468.88884,-13367915355.282082
2056,24905599185.251953,0.0,0.0,145141966320.09637,-24963378270.05524,-26155300355.21071,-27792810311.35685,-17040592265.39172
2057,18771134116.75214,0.0,0.0,121205489488.85013,-26502540429.556458,-27305962876.15051,-28680420738.017647,-20213451897.917545
2058,14073559080.65007,0.0,0.0,99508035836.84233,-27738194171.859615,-28449378887.57255,-28897130884.968067,-22978634696.71107
2059,10126590653.977957,0.0,0.0,73493714075.55782,-29258473564.920593,-29589780651.830143,-29735789459.87342,-25614257309.27091
2060,7189722615.046052,0.0,0.0,40127638896.41212,-30442377737.43422,-30728880272.890556,-30728880272.890556,-29230081672.32847
2061,5226930551.958024,0.0,0.0,11120762083.426388,-30900122650.911648,-31205338743.68855,-31205338743.68855,-30466532136.072453
2062,3871697910.936157,0.0,0.0,0.0,-31496421874.15972,-31664252880.835716,-31664252880.835716,-31664252880.835716
2063,2793726801.823712,0.0,0.0,0.0,-32012406616.825485,-32108126055.631664,-32108126055.631664,-32108126055.631664
2064,2047678692.1730118,0.0,0.0,0.0,-32468914406.632603,-32539197282.197815,-32539197282.197815,-32539197282.197815
2065,1475903875.3060312,0.0,0.0,0.0,-32928835843.4726,-32959626195.62267,-32959626195.62267,-32959626195.62267
2066,1130431494.88786,0.0,0.0,0.0,-33263815045.843197,-33344880742.697975,-33344880742.697975,-33344880742.697975
2067,787480608.5162817,0.0,0.0,0.0,-33737903042.441,-33722833254.66849,-33722833254.66849,-33722833254.66849
2068,559284151.8986799,0.0,0.0,0.0,-34067182865.138256,-34095351232.162384,-34095351232.162384,-34095351232.162384
2069,328670795.3657172,0.0,0.0,0.0,-34453561635.66888,-34464197662.77535,-34464197662.77535,-34464197662.77535
2070,166922865.60262865,0.0,0.0,0.0,-34826797393.55829,-34830995799.3813,-34830995799.3813,-34830995799.3813
2071,99146149.59428954,0.0,0.0,0.0,-34832260612.900856,-34834152201.29512,-34834152201.29512,-34834152201.29512
2072,47461292.69428562,0.0,0.0,0.0,-34796540307.91692,-34802568376.3905,-34802568376.3905,-34802568376.3905
2073,10267072.306319367,0.0,0.0,0.0,-34738414930.53135,-34735956666.81021,-34735956666.81021,-34735956666.81021
2074,0.0,0.0,0.0,0.0,-34672926273.26173,-34672823516.25843,-34672823516.25843,-34672823516.25843
2075,0.0,0.0,0.0,0.0,-34619744827.05852,-34619744827.05851,-34619744827.05851,-34619744827.05851
2076,0.0,0.0,0.0,0.0,-34578160778.2624,-34578160778.262405,-34578160778.262405,-34578160778.262405
2077,0.0,0.0,0.0,0.0,-34544759097.32947,-34544759097.32947,-34544759097.32947,-34544759097.32947
2078,0.0,0.0,0.0,0.0,-34516369172.94843,-34516369172.94843,-34516369172.94843,-34516369172.94843
2079,0.0,0.0,0.0,0.0,-34489923189.86427,-34489923189.86428,-34489923189.86428,-34489923189.86428
2080,0.0,0.0,0.0,0.0,-34462481184.650215,-34462481184.65023,-34462481184.65023,-34462481184.65023
2081,0.0,0.0,0.0,0.0,-34430521653.19153,-34430521653.19153,-34430521653.19153,-34430521653.19153
2082,0.0,0.0,0.0,0.0,-34391277952.39233,-34391277952.39232,-34391277952.39232,-34391277952.39232
2083,0.0,0.0,0.0,0.0,-34342051559.394043,-34342051559.394043,-34342051559.394043,-34342051559.394043
2084,0.0,0.0,0.0,0.0,-34271247546.02301,-34271247546.02302,-34271247546.02302,-34271247546.02302
2085,0.0,0.0,0.0,0.0,-34189771240.250736,-34189771240.250736,-34189771240.250736,-34189771240.250736
2086,0.0,0.0,0.0,0.0,-34095334535.913876,-34095334535.913868,-34095334535.913868,-34095334535.913868
2087,0.0,0.0,0.0,0.0,-33985656652.575375,-33985656652.57538,-33985656652.57538,-33985656652.57538
2088,0.0,0.0,0.0,0.0,-33858456127.166317,-33858456127.16631,-33858456127.16631,-33858456127.16631
2089,0.0,0.0,0.0,0.0,-33582125729.87213,-33582125729.872147,-33582125729.872147,-33582125729.872147
2090,0.0,0.0,0.0,0.0,-33326948559.598557,-33326948559.59855,-33326948559.59855,-33326948559.59855
2091,0.0,0.0,0.0,0.0,-33088785754.951736,-33088785754.951748,-33088785754.951748,-33088785754.951748
2092,0.0,0.0,0.0,0.0,-32865108401.44789,-32865108401.447906,-32865108401.447906,-32865108401.447906
2093,0.0,0.0,0.0,0.0,-32653956793.871456,-32653956793.871445,-32653956793.871445,-32653956793.871445
