year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2061,40643686.09695885,17473307.686255578,19278784.65407846,110.33277156358359,9597622.108996786,85623274326.87732,40344589853.899345
2062,40060686.34865393,17129790.994879466,19120819.17084154,111.62319012857334,9358172.362492451,85059866307.66057,39293254131.0306
2063,39466569.02516176,16782223.9177622,18953135.106139522,112.93577775517369,9117868.828637756,84432710394.7963,38238765265.914085
2064,38863250.72451092,16430742.85522342,18777403.574084066,114.28213404310341,8876702.231679423,83739034356.37646,37180986310.65694
2065,38252261.52171446,16075270.614020389,18595115.77431833,115.67528921161802,8634519.820859483,82974579760.42885,36119177121.80037
2066,37634964.2720498,15715723.689910565,18407601.22473648,117.12856237447143,8475626.749232411,83080909377.48973,35456336120.66465
2067,37012577.68739681,15352108.100794591,18216044.096277148,118.65500149347127,8320071.868115865,83198053637.56036,34810127088.720505
2068,36386191.07933392,14984426.665200446,18021497.92317084,120.2681846014411,8167778.964507152,83326250118.45215,34180161363.731796
2069,35756777.473939896,14612310.369097047,17824898.85216084,121.98549306657188,8016803.304546997,83442043040.8462,33556528676.71679
2070,35125205.61714387,14235774.16271018,17627077.575257722,123.82240244742624,7867143.099268023,83545178436.64027,32939220549.626534
2071,34492599.41719694,13990745.57146082,17293131.891747016,123.60407673357025,7737876.328728727,83813202556.71225,32396954882.436348
2072,33859700.53759198,13749227.396768251,16951713.047821052,123.29211350308704,7611076.268119005,84086240668.31836,31865190569.748672
2073,33227175.891980004,13511202.908548098,16603413.854545875,122.886274204656,7486730.337521551,84364791574.4108,31343872339.723377
2074,32614861.33536303,13279195.43900467,16267498.935105586,122.50364873253874,7362729.852443703,84596053279.82681,30813522069.954567
2075,32020629.46970693,13053214.829175312,15942019.982222462,122.13098605096397,7242956.578533619,84860062680.93523,30303613384.283997
2076,31444570.85055676,12833274.146415126,15627232.135293096,121.77120162011377,7127325.119621609,85157532484.67302,29813568773.68857
2077,30885033.082082275,12619388.388772491,15321634.330514722,121.41344618687246,7015782.876955258,85489643011.79419,29342980729.583916
2078,30340534.459791623,12411575.3433904,15023881.770432234,121.04733971931275,6908277.097542261,85857574767.37836,28891438765.558403
2079,29809750.402605563,12209858.164822519,14732770.13691599,120.66290974093509,6804623.402722523,86260415391.25993,28457839556.261993
2080,29291496.342943076,12014259.671468286,14447221.377797682,120.25061695734149,6704775.520369974,86699324868.36798,28041802433.298042
2081,28784781.42880025,11824823.084570888,14166270.912376614,119.80112354374978,6608482.533255246,87170449176.25806,27641354553.750187
2082,28288726.740046345,11641595.27753443,13889056.067313729,119.3054365505763,6515720.242640581,87675084517.2219,27256247190.5724
2083,27802554.974305138,11464623.621050265,13614805.704880435,118.75492955461885,6426463.879773482,88214541703.54823,26886227955.055584
2084,27325488.906213317,11293949.59140636,13342830.883468382,118.14140638294532,6363050.281080058,89153311393.855,26639557165.637604
2085,26856832.974451672,11129615.533008846,13072516.511453146,117.45703589384497,6296719.0378485415,90045781535.21976,26378659536.12318
2086,26395966.756770663,10971664.811163979,12803313.776237411,116.69435766219979,6227845.585287369,90894679234.86205,26105236999.97684
2087,25942338.335998278,10820141.645644112,12534733.324462622,115.84629605573377,6156806.64885808,91703092958.29561,25820996036.49629
2088,25495458.327319242,10675091.164651718,12266339.118572386,114.90617671903117,6083980.3495097505,92474495240.27156,25527648128.017418
2089,25054911.744621366,10570449.51288964,11963895.822808819,113.18246975419545,6014458.180124915,93274825117.9411,25243705629.60079
2090,24620328.16534082,10459976.571986467,11673390.381202495,111.60054041101534,5942164.16896419,94024713553.9493,24947699886.238297
2091,24191460.078532748,10344358.65468604,11393925.093702437,110.14626884133547,5868811.832813238,94747676304.0035,24646592682.049004
2092,23768092.94213456,10224806.050729102,11124634.72473752,108.80044735855164,5794973.128435868,95451007716.01088,24342695479.250313
2093,23350041.963182162,10101786.464837303,10864682.695389425,107.55209222851465,5720990.162471622,96139898823.90791,24037629524.852425
